From_GeoId,To_GeoId,Miles_of_Common_Border
3700101,3700102,7.466903378
3700101,3700107,0.702833521
3700101,3700108N,4.226183365
3700101,3700108S,3.134412527
3700101,370373,7.580421859
3700101,37081GR,4.627653377
3700101,3715123,3.885381353
3700102,3700101,7.466903378
3700102,3700103S,4.987343813
3700102,37001064,1.456487570
3700102,3700107,4.345195406
3700102,37001129,3.916425828
3700102,37081GR,3.209919602
3700102,37081RC2,2.273338791
37001035,3700103C,1.493419908
37001035,3700103N,2.208265285
37001035,3700103W,4.139897581
37001035,3700104,8.250853040
37001035,37001124,0.049073264
37001035,37001127,1.507315707
37001035,37081SWASH,1.095065422
3700103C,37001035,1.493419908
3700103C,3700103N,5.053776559
3700103C,3700103S,3.408763526
3700103C,3700103W,0.067043741
3700103C,37001124,1.107443001
3700103C,37001126,0.487418985
3700103N,37001035,2.208265285
3700103N,3700103C,5.053776559
3700103N,3700103W,2.972063159
3700103S,3700102,4.987343813
3700103S,3700103C,3.408763526
3700103S,3700103W,1.029512141
3700103S,37001125,0.812263994
3700103S,37001126,0.651133627
3700103S,37001129,2.073448926
3700103S,37081RC2,2.448922460
3700103W,37001035,4.139897581
3700103W,3700103C,0.067043741
3700103W,3700103N,2.972063159
3700103W,3700103S,1.029512141
3700103W,37081GIB,3.114338108
3700103W,37081SWASH,0.672782114
3700104,37001035,8.250853040
3700104,3700105,7.778101437
3700104,37001127,2.116747787
3700104,37033STON,6.183393862
3700104,37081NWASH,4.088356265
3700104,37081SWASH,2.119433712
3700104,37157WM,0.501139601
3700105,3700104,7.778101437
3700105,37001063,2.156243421
3700105,3700111,7.537938014
3700105,37001127,2.810058785
3700105,3700113,3.539607967
3700105,37033ANDE,1.991019213
3700105,37033STON,3.354655695
37001063,3700105,2.156243421
37001063,3700106N,2.200299496
37001063,37001127,0.027404583
37001063,3700112E,0.856489155
37001063,3700112N,2.298506387
37001063,3700113,2.017870830
37001064,3700102,1.456487570
37001064,3700106E,1.054354673
37001064,3700106S,2.654800975
37001064,3700106W,1.105338664
37001064,3700107,2.945552313
37001064,37001129,2.594880010
3700106E,37001064,1.054354673
3700106E,3700106N,3.118941534
3700106E,3700106S,2.851285171
3700106E,3700106W,1.024092933
3700106E,3700113,2.406785718
3700106N,37001063,2.200299496
3700106N,3700106E,3.118941534
3700106N,3700106W,0.743027654
3700106N,3700112E,0.404935210
3700106N,3700113,0.788083532
3700106S,37001064,2.654800975
3700106S,3700106E,2.851285171
3700106S,3700107,2.403825364
3700106S,3700109N,1.410150294
3700106S,37001103,0.977070934
3700106S,3700113,1.857667407
3700106W,37001064,1.105338664
3700106W,3700106E,1.024092933
3700106W,3700106N,0.743027654
3700106W,370011210,0.340879553
3700106W,3700112E,0.319275545
3700106W,3700112S,1.685004360
3700107,3700101,0.702833521
3700107,3700102,4.345195406
3700107,37001064,2.945552313
3700107,3700106S,2.403825364
3700107,3700108N,7.131935464
3700107,3700109N,1.942941681
3700107,3700109S,2.924656259
3700108N,3700101,4.226183365
3700108N,3700107,7.131935464
3700108N,3700108S,20.529459450
3700108N,3700109S,6.219931277
3700108N,37135WC,2.014887346
3700108S,3700101,3.134412527
3700108S,3700108N,20.529459450
3700108S,3703721,7.785456013
3700108S,370373,5.719939104
3700108S,37037MCH110,2.974424015
3700108S,37135WC,0.595531427
3700109N,3700106S,1.410150294
3700109N,3700107,1.942941681
3700109N,3700109S,10.362661800
3700109N,37001103,5.716229822
3700109S,3700107,2.924656259
3700109S,3700108N,6.219931277
3700109S,3700109N,10.362661800
3700109S,37001103,1.443270914
3700109S,37135CX,0.020804349
3700109S,37135OG,5.249862049
3700109S,37135WC,3.625503985
37001103,3700106S,0.977070934
37001103,3700109N,5.716229822
37001103,3700109S,1.443270914
37001103,3700110S,6.196088447
37001103,3700113,5.928572855
37001103,37135CX,1.814672690
3700110N,3700110S,5.173343387
3700110N,3700111,2.330353215
3700110N,3700113,5.775230291
3700110N,37135CX,3.013242460
3700110S,37001103,6.196088447
3700110S,3700110N,5.173343387
3700110S,3700113,0.369338860
3700110S,37135CX,2.280273625
3700111,3700105,7.537938014
3700111,3700110N,2.330353215
3700111,3700113,5.104633701
3700111,37033ANDE,6.953517164
3700111,37033PROS,0.541969671
3700111,37135CA,7.370495423
370011210,3700106W,0.340879553
370011210,37001125,1.574602336
370011210,37001128,1.239090344
370011210,37001129,2.622465216
370011210,3700112S,0.532423412
37001124,37001035,0.049073264
37001124,3700103C,1.107443001
37001124,37001126,1.367720215
