GeoId,Congressional_District,Land_Square_Miles,State_Border_Miles,Population,Dem_Votes,GOP_Votes
3700101,6,50.04510870,0.000000000,4869,796.025,2889.98
3700102,6,29.43382095,0.000000000,4491,699.281,2783.72
37001035,6,10.35721052,0.000000000,6446,1814.21,3845.79
3700103C,6,1.99584160,0.000000000,2814,700.726,1452.27
3700103N,6,2.26287835,0.000000000,5712,2205.96,2749.04
3700103S,6,8.35480827,0.000000000,7024,2203.78,3376.22
3700103W,6,2.33261303,0.000000000,3231,840.889,1567.11
3700104,6,36.50870365,0.000000000,5414,986.824,3207.18
3700105,6,33.68532543,0.000000000,3339,609.539,2071.46
37001063,6,2.15870837,0.000000000,4940,2126.69,1371.31
37001064,6,6.46026675,0.000000000,5874,1606.83,2738.17
3700106E,6,2.38121750,0.000000000,3113,1197.98,1173.02
3700106N,6,1.65443463,0.000000000,4468,2117.39,1049.61
3700106S,6,5.06687347,0.000000000,3937,1175.51,1954.49
3700106W,6,0.75356176,0.000000000,1973,754.573,750.427
3700107,6,21.05706046,0.000000000,4383,769.414,2537.59
3700108N,6,33.41490140,0.000000000,4140,1168.54,1949.46
3700108S,6,32.16660532,0.000000000,2209,520.205,1173.8
3700109N,6,5.57960247,0.000000000,2315,744.388,1089.61
3700109S,6,28.94702258,0.000000000,6217,1847.43,2813.57
37001103,6,11.78660859,0.000000000,4209,955.535,2190.47
3700110N,6,7.52268592,0.000000000,4386,1270.19,2021.81
3700110S,6,8.58425566,0.000000000,8086,3070.97,2860.03
3700111,6,43.79050043,0.000000000,4575,2062.8,1413.2
370011210,6,1.19768504,0.000000000,2802,985.372,1141.63
37001124,6,0.97850141,0.000000000,2455,863.569,1084.43
37001125,6,1.29272640,0.000000000,2662,776.114,1420.89
37001126,6,1.18805334,0.000000000,2038,656.177,1056.82
37001127,6,5.37642277,0.000000000,6951,3846.26,1075.74
37001128,6,1.27894333,0.000000000,3682,1909.77,847.228
37001129,6,6.38143936,0.000000000,2042,523.338,1106.66
3700112E,6,1.11478775,0.000000000,3391,1504.02,998.98
3700112N,6,2.76384475,0.000000000,6086,4077.7,452.299
3700112S,6,0.94319545,0.000000000,2684,1363.3,496.705
3700112W,6,1.01621587,0.000000000,2744,1105.58,1050.42
3700113,6,14.07213107,0.000000000,5429,2202.97,1867.03
37003B1,5,10.31971962,0.000000000,3625,693.752,2177.25
37003B2,5,12.58706440,0.000000000,4524,876.808,2651.19
37003E,5,45.19432695,0.000000000,3319,776.234,1790.77
37003G1,5,25.38891665,0.000000000,1006,155.778,613.222
37003G2,5,17.41152788,0.000000000,1228,355.99,584.01
37003L,5,25.70140882,0.000000000,1447,241.349,891.651
37003M,5,23.30452792,0.000000000,2736,570.898,1402.1
37003S1,5,23.16339716,0.000000000,3213,645.33,1771.67
37003S2,5,5.12364246,0.000000000,1376,363.929,655.071
37003SL,5,20.66335556,0.000000000,1215,198.448,730.552
37003T1,5,12.91751765,0.000000000,3377,578.443,2223.56
37003T2,5,9.59441011,0.000000000,2382,695.209,1062.79
37003T3,5,5.48605185,0.000000000,1776,479.578,904.422
37003T4,5,6.21524709,0.000000000,2213,674.806,1062.19
37003T5,5,5.94607365,0.000000000,1430,266.071,825.929
37003W,5,10.95553103,0.000000000,2331,431.6,1394.4
3700501,5,40.57425631,0.000000000,1528,356.574,857.426
3700502,5,23.93692504,0.000000000,375,84.1727,240.827
3700503,5,48.17835572,9.673980811,4474,1502.72,2029.28
3700504,5,39.50640159,11.106535350,1991,395.777,1171.22
3700505,5,28.42139159,10.454156680,858,301.56,416.44
3700506,5,30.51018960,0.000000000,869,256.19,445.81
3700507,5,23.93265552,0.000000000,1060,256.485,605.515
37007ANS,9,66.28119411,0.000000000,1665,811.796,477.204
37007BURN,9,49.01387269,0.000000000,1942,544.224,968.776
37007GULL,9,51.75311385,10.096067390,1613,839.077,384.923
37007LILE,9,110.34869929,0.000000000,3510,1829.68,842.316
37007MM,9,42.93930578,7.983265210,1954,1187.2,243.8
37007PEAC,9,35.34697476,0.000000000,2077,602.485,992.515
37007POLK,9,24.55857809,0.000000000,1735,691.599,594.401
37007W1,9,43.65143145,0.000000000,3536,1984.51,638.493
37007W2,9,29.12963036,0.000000000,4676,3015.48,1093.52
37007W3,9,17.16088811,0.000000000,3734,1790.3,1096.7
37007WS,9,61.26779424,9.068121617,506,175.212,177.788
3700902,5,28.70371837,0.000000000,1819,457.276,981.724
3700903,5,28.74248882,0.000000000,612,120.112,366.888
3700904,5,11.63768668,0.000000000,613,225.49,274.51
3700906,5,18.41504407,6.956282898,718,212.961,372.039
3700907,5,18.15738613,0.000000000,680,226.793,308.207
3700908,5,13.82368861,10.497927680,302,116.78,135.22
3700909,5,32.63157850,0.000000000,4718,1532.84,2294.16
3700910,5,11.56969177,2.281331196,413,108.598,223.402
3700911,5,57.91955569,5.938597731,2652,880.966,1248.03
3700912,5,26.21951275,9.601349146,868,235.017,474.983
3700913,5,22.22393338,0.000000000,1376,384.556,737.444
3700914,5,22.34453625,0.000000000,2708,767.056,1404.94
3700915,5,37.64214206,0.000000000,1104,277.539,652.461
3700916,5,35.54821314,0.000000000,2614,687.413,1406.59
3700917,5,16.95520879,0.000000000,1230,265.708,719.292
3700918,5,16.69703386,8.549349630,240,65.5738,134.426
3700920,5,26.91978932,0.000000000,4614,1450.51,2230.49
3701101,5,16.28827600,0.000000000,1297,251.465,744.535
3701102,5,27.74822209,0.000000000,2996,816.106,1721.89
3701103,5,13.66150949,6.321211336,672,78.5297,468.47
3701104,5,43.84403233,0.000000000,132,29.6154,75.3846
3701105,5,9.12052646,0.343394052,614,55.2283,445.772
3701106,5,9.21540257,5.618127626,1227,158.72,833.28
3701107,5,3.07925353,0.000000000,296,15.4605,219.539
3701108,5,5.48875186,0.000000000,443,49.5938,295.406
3701109,5,4.37194248,0.000000000,490,28.4752,336.525
3701110,5,21.84192391,0.000000000,2930,697.635,2011.36
3701111,5,16.36072536,0.000000000,453,92.4163,260.584
3701112,5,8.52046772,1.810219328,384,41.626,278.374
3701113,5,6.76448127,0.000000000,676,165.903,372.097
3701114,5,8.49343362,0.000000000,1189,215.395,714.605
3701115,5,7.58510744,0.000000000,1096,185.176,713.824
3701116,5,11.12293643,0.000000000,1207,321.755,709.245
3701117,5,14.00523655,0.000000000,711,84.8253,470.175
3701118,5,5.57352792,0.000000000,516,67.3643,327.636
3701119,5,14.00234735,4.297907668,468,46.4516,337.548
37013AUROR,3,111.88174339,0.000000000,1621,807.381,497.619
37013BEADM,3,18.33039735,0.000000000,2412,371.749,1474.25
37013BELHV,3,44.54505177,0.000000000,2354,973.355,859.645
37013BLCK,3,53.19814288,0.000000000,1008,427.027,413.973
37013CHOCO,3,84.17201106,0.000000000,6147,1737.75,2786.25
37013EDWAR,3,55.36178062,0.000000000,1485,587.404,602.596
37013GILEA,3,23.15840988,0.000000000,2141,631.829,1265.17
37013HB,3,56.65858040,0.000000000,1191,181.445,730.555
37013NCRK,3,48.33710549,0.000000000,1933,505.756,1109.24
37013OLDF,3,41.27577497,0.000000000,1892,740.424,742.576
37013PANTE,3,82.83779914,0.000000000,1792,559.027,832.973
37013PINET,3,79.02951446,0.000000000,1241,186.144,770.856
37013PSJW3,3,3.14333722,0.000000000,2057,1211.68,295.32
37013RVRD,3,5.11747564,0.000000000,3282,931.801,1546.2
37013SURBA,3,39.89832656,0.000000000,2274,566.2,1305.8
37013TCRK,3,44.81626344,0.000000000,3517,925.107,1724.89
37013WASH1,3,0.97655661,0.000000000,2165,1133.21,556.792
37013WASH2,3,3.11977379,0.000000000,2198,1183.77,553.231
37013WASH4,3,3.31969904,0.000000000,3297,1130.27,1440.73
37013WASHP,3,3.25541573,0.000000000,1712,535.8,780.2
37013WDPD,3,25.00454075,0.000000000,2040,471.419,1144.58
37015C1,1,41.05307163,0.000000000,1229,439.283,546.717
37015C2,1,41.36458195,0.000000000,2182,1268.27,438.727
37015IW,1,38.15742011,0.000000000,471,353.443,38.5574
37015M1,1,47.28299601,0.000000000,1103,418.239,430.761
37015M2,1,19.27134878,0.000000000,1290,695.08,287.92
37015MH,1,69.88831068,0.000000000,992,514.985,296.015
37015RX,1,58.67169197,0.000000000,1671,1021.33,280.671
37015SN,1,68.28999832,0.000000000,1410,859.423,165.577
37015W1,1,128.17969434,0.000000000,7005,3799.87,1903.13
37015W2,1,22.81338435,0.000000000,966,107.832,656.168
37015WD,1,100.98693233,0.000000000,1409,946.186,103.814
37015WH,1,63.30929551,0.000000000,1554,602.505,671.495
37017P10,9,28.17229662,0.000000000,1094,397.745,415.255
37017P15,9,42.85670309,0.000000000,4467,1050.97,2263.03
37017P201,9,30.63405967,0.000000000,2047,538.047,1068.95
37017P202,9,33.62481897,0.000000000,3962,1115.32,1890.68
37017P25,7,31.70029430,0.000000000,1829,826.325,587.675
37017P30,7,74.01602502,0.000000000,1884,1337.45,165.548
37017P35,9,32.52392318,0.000000000,1217,560.087,362.913
37017P40,9,93.79183132,0.000000000,2304,737.735,1100.26
37017P45,9,45.13203709,0.000000000,965,259.95,479.05
37017P501,9,33.37079387,0.000000000,4042,1923.32,1144.68
37017P502,7,27.59563374,0.000000000,2638,1304.07,787.928
37017P55,7,78.61778786,0.000000000,1035,496.403,325.597
37017P60,9,45.48977657,0.000000000,2318,1041.95,747.055
37017P65,7,75.66393954,0.000000000,909,275.38,469.62
37017P70,9,48.96253732,0.000000000,733,362.624,188.376
37017P75,7,72.06362222,0.000000000,1850,1139.4,299.595
37017P80,9,80.15673354,0.000000000,1896,657.809,752.191
3701901,7,41.71340980,0.000000000,2723,1132.98,870.023
3701902,7,33.01575247,0.000000000,7119,2930.77,2356.23
3701903,7,5.24414456,0.000000000,2408,1247.6,594.404
3701904,7,55.54035248,0.000000000,13819,5031.09,5899.91
3701905,7,107.64623552,0.000000000,5335,1612.45,2366.55
3701906,7,35.77930068,0.000000000,2408,819.795,1124.2
3701907,7,57.45492576,0.000000000,3167,1188.2,1504.8
3701908,7,9.06947835,0.000000000,4769,1642.8,2302.2
3701909,7,4.72820551,0.000000000,1196,425.74,641.26
3701910,7,53.15985583,0.000000000,6186,2029.6,3570.4
3701911,7,102.21625729,0.000000000,3657,1717.99,1016.01
3701912,7,10.86336845,0.000000000,3747,1178.7,1972.3
3701913,7,42.87877886,0.000000000,5323,1698.69,2403.31
3701914,7,10.38762302,0.000000000,5142,1439.75,2806.25
3701915,7,23.74961491,6.967672479,6018,1596.08,3321.92
3701916,7,19.29439483,9.322569690,4767,1553.96,2787.04
3701917,7,56.29849342,5.242780798,5873,2115.08,2892.92
3701918,7,127.72199378,0.000000000,3377,858.54,1589.46
3701919,7,5.42147665,1.741846510,4816,1619.55,2698.45
3701920,7,9.44825692,9.408498426,4342,1098.8,2485.2
3701921,7,31.45419510,0.000000000,5904,1389.93,3130.07
3701922,7,2.84543392,27.483475770,2619,856.064,1402.94
3701923,7,3.18132813,0.000000000,2716,918.198,1431.8
3702101.1,10,0.96129245,0.000000000,2310,1914.13,209.871
3702102.1,10,1.32068329,0.000000000,4100,3100.03,163.965
3702103.1,10,0.67080810,0.000000000,2781,2231.97,181.03
3702104.1,11,0.51446105,0.000000000,1566,1042.74,208.256
3702105.1,11,2.04270321,0.000000000,2748,1610.1,633.898
3702106.1,10,1.09650040,0.000000000,1665,1067.82,327.178
3702107.1,10,1.22817977,0.000000000,1933,1322.5,248.501
3702109.1,10,2.68474554,0.000000000,4216,2416.5,849.496
3702110.1,10,1.43375524,0.000000000,2989,2190.09,93.909
37021100.1,10,8.87233497,0.000000000,9126,5061.16,2220.84
37021101.1,11,17.77087586,0.000000000,10497,4249.01,3654.99
37021102.1,10,3.13659511,0.000000000,5975,2960.03,2066.97
